"AWR Date","AWR Quarterly Revenue (Millions USD)","RRGB Date","RRGB Quarterly Revenue (Millions USD)"
2023-09-30,$152,2023-09-30,$278
2023-06-30,$157,2023-06-30,$299
2023-03-31,$161,2023-03-31,$418
2022-12-31,$125,2022-12-31,$290
2022-09-30,$135,2022-09-30,$287
2022-06-30,$123,2022-06-30,$294
2022-03-31,$109,2022-03-31,$396
2021-12-31,$117,2021-12-31,$283
2021-09-30,$137,2021-09-30,$275
2021-06-30,$128,2021-06-30,$277
2021-03-31,$117,2021-03-31,$326
2020-12-31,$124,2020-12-31,$201
2020-09-30,$134,2020-09-30,$200
2020-06-30,$121,2020-06-30,$161
2020-03-31,$109,2020-03-31,$306
2019-12-31,$113,2019-12-31,$303
2019-09-30,$134,2019-09-30,$294
2019-06-30,$125,2019-06-30,$308
2019-03-31,$102,2019-03-31,$410
2018-12-31,$111,2018-12-31,$307
2018-09-30,$124,2018-09-30,$295
2018-06-30,$107,2018-06-30,$315
2018-03-31,$95,2018-03-31,$422
2017-12-31,$104,2017-12-31,$344
2017-09-30,$124,2017-09-30,$306
2017-06-30,$113,2017-06-30,$317
2017-03-31,$99,2017-03-31,$421
2016-12-31,$107,2016-12-31,$298
2016-09-30,$124,2016-09-30,$297
2016-06-30,$112,2016-06-30,$306
2016-03-31,$94,2016-03-31,$402
2015-12-31,$110,2015-12-31,$286
2015-09-30,$133,2015-09-30,$283
2015-06-30,$115,2015-06-30,$293
2015-03-31,$101,2015-03-31,$395
2014-12-31,$110,2014-12-31,$282
2014-09-30,$138,2014-09-30,$267
2014-06-30,$116,2014-06-30,$256
2014-03-31,$102,2014-03-31,$340
2013-12-31,$110,2013-12-31,$242
2013-09-30,$131,2013-09-30,$231
2013-06-30,$121,2013-06-30,$238
2013-03-31,$111,2013-03-31,$306
2012-12-31,$112,2012-12-31,$241
2012-09-30,$134,2012-09-30,$213
2012-06-30,$115,2012-06-30,$224
2012-03-31,$107,2012-03-31,$299
2011-12-31,$96,2011-12-31,$206
2011-09-30,$120,2011-09-30,$206
2011-06-30,$110,2011-06-30,$216
2011-03-31,$94,2011-03-31,$287
2010-12-31,$105,2010-12-31,$193
2010-09-30,$111,2010-09-30,$195
2010-06-30,$95,2010-06-30,$201
2010-03-31,$88,2010-03-31,$276
2009-12-31,$83,2009-12-31,$182
2009-09-30,$99,2009-09-30,$187
2009-06-30,$92,2009-06-30,$201
2009-03-31,$80,2009-03-31,$271
